Unnamed: 0,Badrumsrenovering,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,Personuppgifter,,Förnamn,,Efternamn,,,,,Arbetskostnad,Materialkostnad,"Servicebil, trängselskatt, parkering, byggsäck",,,,,,,,,,,,
O,Personens namn,,,,,,,,,,,,,,,,,,,,,,,
O,Telefonnummer,,Tel.,,,,,,,,,,,,,,,,,,,,,
O,Adress fullständig,,Adress,,,,,,,,,,,,,,,,,,,,,
,Epost,,Epost,,,,,,,,,,,,,,,,,,,,,
EVB,Portkod,,Portkod,,,,,,,,,,,,,,,,,,,,,
,Utförande säsong,,Sommar,,Vinter,,,,,0,,,,,,,,,0.0,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Antal våningar,,Antal,,,,,,100,0,,,,,,,,,,,,,,
,"Boende, (lägenhet eller hus)",,Brf Lägenhet,,Hus,,Fritidshus,,Hyresrätt/lokal,0,,,,,,,,,0.0,0.0,False,False,,
,Parkeringsmöjlighet(avstånd till fastighet),,Dålig,,Helt okej,,Bra,,,0,,,,,,,,,0.0,0.0,False,,,
,Transportmöjlighet fram till fastigheten,,Dålig,,Helt okej,,Bra,,,0,,,,,,,,,0.0,0.0,False,,,
,Parkeringskostnad,,Antal dagar,,,,Kostnad per dag,,,,,0,,,,,,,,,,,,
,Service bil,,Antal dagar,,,,Kostnad per dag,,,,,0,,,,,,,,,,,,
,Trängselskatt,,Antal dagar,,,,Kostnad per dag,,,,,0,,,,,,,,,,,,
,Hiss Ja eller Nej,,Ja,,Nej,,Behövs inte ,,,0,,,,,,,,,0.0,0.0,False,,,
,Storlek på hiss,,Liten,,Mellan,,Stor,,,0,,,,,,,,,0.0,0.0,False,,,
,Trapphus med god tillgänglighet,,Ja,,Nej,,Behövs inte ,,,0,,,,,,,,,0.0,0.0,False,,,
,Möjlighet till arbetsutrymme inomhus,,Finns,,Finns inte,,,,,0,,,,,,,,,0.0,0.0,,,,
,Distans till närmaste arbetsutrymme om nej,,Antal meter,,,,Pris/m,,480,0,,,,,,,,,,,,,,
,Avstånd till arbetsutrymme från närmaste ingång,,Antal meter,,,,Pris/m,,480,0,,,,,,,,,,,,,,
O,Täcking av golv,,Timmar,,,,Golvyta (kvm),,,0,0,,,,,,,,680.0,50.0,,,,
,Angående bostad och kund,,,,,,,,,,,,,,,,,,,,,,,
EVB,Mått på badrumet.   BxLxH,,200,,300,,250,,,160000,22500,,,,,,,,,,,,,
EVB,Golvyta,,6,,,,,,,,,,,,,,,,,,,,,
,Skiss på badrummet ,,Finns,,Tagit fram av oss,,,,,0,,,,,,,,,0.0,0.0,,,,
,Befintliga placeringar ,,Ritat,,,,,,,0,,,,,,,,,0.0,,,,,
EVB,Antal omplaceringar ,,0,,1,,2,,3,0,0,,,,,,,,0.0,0.0,False,False,,
O,Etablering,,Ja,,Nej,,,,,,,,,,,,,,,,,,,
OB,Flytspackling,,Ja,,Nej,,,,,,,,,,,,,,,,,,,
OB, Ta in byggmaterial,,Ja,,Nej,,,,,,,,,,,,,,,,,,,
